p257_001   please call Stella.
p257_002   Ask her to bring loose things with her from the store.
p257_003   6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother  Bob.
p257_004   We also need a small plastic snake and a big toy frog for the kids.
p257_006   When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
p257_007   The rainbow is a division of white light into many beautiful colours.
p257_008   These take the shape of a long round arch with its path high above and its two ends  apparently beyond the horizon.
p257_009   There is, according to legend, a boiling pot of gold at one end.
p257_010   People look but no one ever finds it.
p257_011   When a man looks for something beyond his reach, his friends say he's looking for the pot of gold at the end of the rainbow.
p257_012   Yn ystod y blynyddoedd, roedd pobl yn gysylltu 'r rhenbar yn ffyrdd gwahanol.
p257_013   Some have accepted it as a miracle without physical explanation.
p257_014   To the Hebrews it was a token that there will be no more universal floods.
p257_015   The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
p257_016   Y gynorthwyr ydynt yn ystyried y ffyrdd y bydd y golygau'n mynd o'r ddewr i'w gwreiddiol.
p257_017   Others have tried to explain the phenomenon physically.
p257_018   Aristotle meddwl bod y rhenbwrn yn cael ei wneud o'r ffurfio o'r llunau a'r rhain.
p257_019   Mae'n dweud bod ymdrechion yn ymdrechion, ond yn ymdrechion gan y llwybrau sy'n cyflawni'r llwybrau.
p257_020   Mae llawer o syniadau cyfathrebu am y rhenbow wedi'u datblygu.
p257_022   The actual primary rainbow observed is said to be the effect of superimposition of a number of bows.
p257_023   If the red of the second bow falls upon the green of the first, the result is to give  a bow with an abnormally wide yellow band, since red and green light when mixed form  yellow.
p257_024   This is a very common type of bow, one showing mainly red and yellow with little or no green or blue.
p257_025   we have to pull together or we will hang apart.
p257_026   It's disaccurate.
p257_027   Byddai'n rhaid iddyn nhw gael ymdrech ar y cyfnod ar gyfer y flwyddyn nesaf.
p257_028   because we do not need it.
p257_029   Life was like a timetable.
p257_030   Other members of the family were too upset to comment last night.
p257_031   It was Claire.
p257_032   Clark was desperate to return to the House of Commons.
p257_033   I came to complete.
p257_034   President Bush is at war.
p257_035   Of course, on Tuesday, United were beaten despite this.
